I0, V0, P0, I20, V20, P20, I40, V40, P40, I60, V60, P60, I80, V80, P80
0,5.38,0,0,5.3781,0,0,5.3717,0,0,5.3578,0,0,5.3161,0
0.005196,5.3785,0.027947,0.005196,5.3765,0.027936,0.005196,5.3701,0.027903,0.005196,5.3561,0.027831,0.005196,5.3138,0.02761
0.010392,5.3769,0.055877,0.010392,5.375,0.055857,0.010392,5.3685,0.05579,0.010392,5.3545,0.055644,0.010392,5.3114,0.055196
0.015588,5.3754,0.083792,0.015588,5.3734,0.083761,0.015588,5.367,0.08366,0.015588,5.3528,0.08344,0.015588,5.3089,0.082756
0.020784,5.3739,0.11169,0.020784,5.3719,0.11165,0.020784,5.3654,0.11151,0.020784,5.3512,0.11122,0.020784,5.3065,0.11029
0.02598,5.3723,0.13957,0.02598,5.3704,0.13952,0.02598,5.3638,0.13935,0.02598,5.3495,0.13898,0.02598,5.304,0.1378
0.031176,5.3708,0.16744,0.031176,5.3688,0.16738,0.031176,5.3623,0.16717,0.031176,5.3479,0.16673,0.031176,5.3014,0.16528
0.036372,5.3692,0.19529,0.036372,5.3673,0.19522,0.036372,5.3607,0.19498,0.036372,5.3462,0.19445,0.036372,5.2988,0.19273
0.041568,5.3677,0.22312,0.041568,5.3657,0.22304,0.041568,5.3591,0.22277,0.041568,5.3445,0.22216,0.041568,5.2962,0.22015
0.046764,5.3662,0.25094,0.046764,5.3642,0.25085,0.046764,5.3575,0.25054,0.046764,5.3429,0.24985,0.046764,5.2935,0.24754
0.05196,5.3646,0.27875,0.05196,5.3626,0.27864,0.05196,5.356,0.2783,0.05196,5.3412,0.27753,0.05196,5.2907,0.27491
0.057156,5.3631,0.30653,0.057156,5.3611,0.30642,0.057156,5.3544,0.30604,0.057156,5.3395,0.30519,0.057156,5.2879,0.30224
0.062352,5.3616,0.3343,0.062352,5.3595,0.33418,0.062352,5.3528,0.33376,0.062352,5.3379,0.33283,0.062352,5.285,0.32953
0.067548,5.36,0.36206,0.067548,5.358,0.36192,0.067548,5.3512,0.36147,0.067548,5.3362,0.36045,0.067548,5.2821,0.35679
0.072744,5.3585,0.3898,0.072744,5.3565,0.38965,0.072744,5.3497,0.38916,0.072744,5.3345,0.38805,0.072744,5.279,0.38402
0.07794,5.3569,0.41752,0.07794,5.3549,0.41736,0.07794,5.3481,0.41683,0.07794,5.3329,0.41564,0.07794,5.2759,0.4112
0.083136,5.3554,0.44523,0.083136,5.3534,0.44506,0.083136,5.3465,0.44449,0.083136,5.3312,0.44321,0.083136,5.2726,0.43834
0.088332,5.3539,0.47292,0.088332,5.3518,0.47274,0.088332,5.3449,0.47213,0.088332,5.3295,0.47077,0.088332,5.2692,0.46544
0.093528,5.3523,0.50059,0.093528,5.3503,0.5004,0.093528,5.3433,0.49975,0.093528,5.3278,0.4983,0.093528,5.2657,0.49249
0.098724,5.3508,0.52825,0.098724,5.3487,0.52805,0.098724,5.3418,0.52736,0.098724,5.3261,0.52582,0.098724,5.262,0.51949
0.10392,5.3492,0.55589,0.10392,5.3472,0.55568,0.10392,5.3402,0.55495,0.10392,5.3244,0.55332,0.10392,5.2582,0.54643
0.10912,5.3477,0.58352,0.10912,5.3456,0.58329,0.10912,5.3386,0.58253,0.10912,5.3228,0.5808,0.10912,5.2541,0.5733
0.11431,5.3461,0.61113,0.11431,5.3441,0.61089,0.11431,5.337,0.61009,0.11431,5.3211,0.60826,0.11431,5.2497,0.60011
0.11951,5.3446,0.63872,0.11951,5.3425,0.63847,0.11951,5.3354,0.63763,0.11951,5.3194,0.63571,0.11951,5.245,0.62682
0.1247,5.3431,0.6663,0.1247,5.341,0.66604,0.1247,5.3339,0.66515,0.1247,5.3177,0.66314,0.1247,5.2399,0.65344
0.1299,5.3415,0.69386,0.1299,5.3394,0.69359,0.1299,5.3323,0.69266,0.1299,5.316,0.69055,0.1299,5.2342,0.67993
0.1351,5.34,0.72141,0.1351,5.3378,0.72112,0.1351,5.3307,0.72015,0.1351,5.3143,0.71794,0.1351,5.2279,0.70626
0.14029,5.3384,0.74894,0.14029,5.3363,0.74864,0.14029,5.3291,0.74763,0.14029,5.3126,0.74531,0.14029,5.2204,0.73239
0.14549,5.3369,0.77645,0.14549,5.3347,0.77614,0.14549,5.3275,0.77509,0.14549,5.3109,0.77267,0.14549,5.2114,0.7582
0.15068,5.3353,0.80395,0.15068,5.3332,0.80363,0.15068,5.3259,0.80253,0.15068,5.3092,0.80001,0.15068,5.1998,0.78352
0.15588,5.3338,0.83143,0.15588,5.3316,0.8311,0.15588,5.3243,0.82996,0.15588,5.3075,0.82733,0.15588,5.1824,0.80783
0.16108,5.3322,0.8589,0.16108,5.3301,0.85855,0.16108,5.3227,0.85737,0.16108,5.3057,0.85463,0.16108,5.1444,0.82864
0.16627,5.3307,0.88635,0.16627,5.3285,0.88598,0.16627,5.3212,0.88476,0.16627,5.304,0.88191,0.16627,4.7501,0.78981
0.17147,5.3291,0.91378,0.17147,5.327,0.9134,0.17147,5.3196,0.91213,0.17147,5.3023,0.90918,0.17147,4.1332,0.7087
0.17666,5.3276,0.9412,0.17666,5.3254,0.94081,0.17666,5.318,0.93949,0.17666,5.3006,0.93642,0.17666,3.5162,0.62118
0.18186,5.3261,0.9686,0.18186,5.3239,0.9682,0.18186,5.3164,0.96684,0.18186,5.2989,0.96365,0.18186,2.8992,0.52725
0.18706,5.3245,0.99598,0.18706,5.3223,0.99557,0.18706,5.3148,0.99416,0.18706,5.2971,0.99086,0.18706,2.2823,0.42691
0.19225,5.323,1.0233,0.19225,5.3207,1.0229,0.19225,5.3132,1.0215,0.19225,5.2954,1.0181,0.19225,1.6653,0.32016
0.19745,5.3214,1.0507,0.19745,5.3192,1.0503,0.19745,5.3116,1.0488,0.19745,5.2937,1.0452,0.19745,1.0483,0.20699
0.20264,5.3199,1.078,0.20264,5.3176,1.0776,0.20264,5.31,1.076,0.20264,5.2919,1.0724,0.20264,0.43137,0.087414
0.20784,5.3183,1.1054,0.20784,5.3161,1.1049,0.20784,5.3084,1.1033,0.20784,5.2902,1.0995,0.20784,-0.1856,-0.038575
0.21304,5.3168,1.1327,0.21304,5.3145,1.1322,0.21304,5.3068,1.1305,0.21304,5.2885,1.1266,0.21304,-0.80256,-0.17097
0.21823,5.3152,1.1599,0.21823,5.3129,1.1595,0.21823,5.3052,1.1578,0.21823,5.2867,1.1537,0.21823,-1.4195,-0.30979
0.22343,5.3137,1.1872,0.22343,5.3114,1.1867,0.22343,5.3036,1.185,0.22343,5.285,1.1808,0.22343,-2.0365,-0.45501
0.22862,5.3121,1.2145,0.22862,5.3098,1.214,0.22862,5.302,1.2122,0.22862,5.2832,1.2079,0.22862,-2.6535,-0.60664
0.23382,5.3105,1.2417,0.23382,5.3083,1.2412,0.23382,5.3004,1.2393,0.23382,5.2815,1.2349,0.23382,-3.2704,-0.76469
0.23902,5.309,1.2689,0.23902,5.3067,1.2684,0.23902,5.2988,1.2665,0.23902,5.2797,1.2619,0.23902,-3.8874,-0.92915
0.24421,5.3074,1.2961,0.24421,5.3051,1.2956,0.24421,5.2972,1.2936,0.24421,5.2779,1.2889,0.24421,-4.5043,-1.1
0.24941,5.3059,1.3233,0.24941,5.3036,1.3228,0.24941,5.2956,1.3208,0.24941,5.2762,1.3159,0.24941,-5.1213,-1.2773
0.2546,5.3043,1.3505,0.2546,5.302,1.3499,0.2546,5.294,1.3479,0.2546,5.2744,1.3429,0.2546,-5.7383,-1.461
0.2598,5.3028,1.3777,0.2598,5.3004,1.3771,0.2598,5.2924,1.375,0.2598,5.2726,1.3698,0.2598,-6.3552,-1.6511
0.265,5.3012,1.4048,0.265,5.2989,1.4042,0.265,5.2908,1.402,0.265,5.2708,1.3968,0.265,-6.9722,-1.8476
